Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,META,META,META,META,META,,,
2021-01-04,2021,1,4,Monday,01,2021-01,272.39,272.61,262.89,266.6,15106100,0.0,266.6,266.6
2021-01-05,2021,1,5,Tuesday,01,2021-01,265.95,270.03,265.88,268.61,9871600,0.0075481538216219946,267.605,267.605
2021-01-06,2021,1,6,Wednesday,01,2021-01,259.72,265.42,257.75,261.02,24354100,-0.0282685994116465,265.41,265.41
2021-01-07,2021,1,7,Thursday,01,2021-01,263.59,269.25,262.48,266.4,15789800,0.020621685752484353,265.6575,265.6575
2021-01-08,2021,1,8,Friday,01,2021-01,265.97,266.61,260.89,265.24,18528300,-0.004353671890652944,265.57399999999996,265.57399999999996
2021-01-11,2021,1,11,Monday,02,2021-02,258.21,261.18,253.67,254.6,30412300,-0.040101442712158986,263.745,263.745
2021-01-12,2021,1,12,Tuesday,02,2021-02,254.4,257.46,248.12,248.9,26383500,-0.022387619608120413,261.6242857142857,261.6242857142857
2021-01-13,2021,1,13,Wednesday,02,2021-02,249.36,251.74,247.03,249.45,19528900,0.002190509598161805,260.1025,260.1025
2021-01-14,2021,1,14,Thursday,02,2021-02,251.19,252.81,242.48,243.5,29739400,-0.023843647857788364,258.2577777777778,258.2577777777778
2021-01-15,2021,1,15,Friday,02,2021-02,245.74,251.65,245.01,249.17,24942900,0.023286321123961784,257.349,257.349
2021-01-19,2021,1,19,Tuesday,03,2021-03,254.66,259.92,250.52,258.83,28028500,0.03874907913358028,257.4836363636363,257.4836363636363
2021-01-20,2021,1,20,Wednesday,03,2021-03,266.59,267.97,261.31,265.15,25199900,0.02443520680805622,258.1225,258.1225
2021-01-21,2021,1,21,Thursday,03,2021-03,266.92,271.22,265.16,270.49,20838700,0.020150919256712863,259.07384615384615,259.07384615384615
2021-01-22,2021,1,22,Friday,03,2021-03,269.64,276.05,269.63,272.11,21954000,0.005973440943872754,260.005,260.005
2021-01-25,2021,1,25,Monday,04,2021-04,275.72,277.66,269.15,275.59,19087000,0.012787060055084343,260.64714285714285,261.044
2021-01-26,2021,1,26,Tuesday,04,2021-04,275.72,282.91,275.39,279.59,19373600,0.014531815962075312,261.43142857142857,262.203125
2021-01-27,2021,1,27,Wednesday,04,2021-04,280.07,280.98,265.79,269.77,35346200,-0.035135607132254054,262.05642857142857,262.6482352941176
2021-01-28,2021,1,28,Thursday,04,2021-04,274.77,284.29,262.4,262.69,37758800,-0.02623640023095397,261.7914285714286,262.65055555555557
2021-01-29,2021,1,29,Friday,04,2021-04,262.99,264.24,252.63,256.08,30389500,-0.02517016286145446,261.13714285714286,262.3047368421053
2021-02-01,2021,2,1,Monday,05,2021-05,257.26,261.87,252.69,259.73,22914300,0.014245524543552213,261.50357142857143,262.176
2021-02-02,2021,2,2,Tuesday,05,2021-05,261.7,266.51,260.98,264.76,17320800,0.01935046097284565,262.63642857142855,262.2990476190476
2021-02-03,2021,2,3,Wednesday,05,2021-05,263.31,266.86,261.54,264.33,14223400,-0.0016098220585274436,263.6992857142857,262.3913636363636
2021-02-04,2021,2,4,Thursday,05,2021-05,264.69,265.83,261.7,264.17,16060000,-0.0006002405811353917,265.17571428571426,262.4686956521739
2021-02-05,2021,2,5,Friday,05,2021-05,264.48,266.83,263.36,265.77,12454400,0.006041360724778455,266.3614285714286,262.60625
2021-02-08,2021,2,8,Monday,06,2021-06,266.41,267.51,262.69,264.26,13755200,-0.005669552388528842,266.7492857142857,262.6724
2021-02-09,2021,2,9,Tuesday,06,2021-06,264.12,271.01,263.44,267.1,14613400,0.010766290383116273,266.8885714285714,262.8426923076923
2021-02-10,2021,2,10,Wednesday,06,2021-06,270.08,271.42,265.39,269.5,14687200,0.008981227944817372,266.8178571428571,263.0892592592593
2021-02-11,2021,2,11,Thursday,06,2021-06,269.52,271.2,266.15,268.04,12828600,-0.0054439510610586606,266.52714285714285,263.2660714285714
2021-02-12,2021,2,12,Friday,06,2021-06,268.17,268.82,266.0,268.15,9097600,0.00040680814436044876,265.9957142857143,263.4344827586207
2021-02-16,2021,2,16,Tuesday,07,2021-07,268.44,274.19,267.7,271.59,15417200,0.012828081177859385,265.4242857142857,263.7063333333333
2021-02-17,2021,2,17,Wednesday,07,2021-07,268.88,271.59,267.23,271.19,12763200,-0.0014598904318070538,265.5257142857143,263.94774193548386
2021-02-18,2021,2,18,Thursday,07,2021-07,267.22,269.58,263.71,267.04,15249100,-0.01527935229779398,265.8364285714286,264.044375
2021-02-19,2021,2,19,Friday,07,2021-07,267.51,267.92,257.89,259.28,25622600,-0.029065785622789164,266.065,263.90000000000003
2021-02-22,2021,2,22,Monday,08,2021-08,255.7,260.78,255.29,258.06,17434900,-0.0047024618570116195,265.94571428571425,263.72823529411767
